HSC	0.0259255
MPP	0.0423191
LMPP	0.0700182
BMEP	0.0330775
MkP	0.0173178
pro-ery1	0.0305623
pro-ery2	0.0867303
EEP1	0.0432189
EEP2	0.0274318
EEP3	0.0247782
EoBaMa	0.0215796
GMP	0.0651126
Mye	0.0337998
Pro-mye	0.026469
MDP	0.0220643
Pro-mono	0.0201248
Pre-cDC	0.0183117
Pre-pDC	0.0180473
CLP	0.118455
Pro-B1	0.275028
Pro-B2	0.194175
Pro-B3	0.0600528
Pre-B1	0.976562
Pre-B2	0.127356
InterEry	0.0315696
LateEry	0.030021
MatureEry	0.0467333
Immat-B	0.038276
Mature-B	0.0205145
Memory-B	0.0179824
